Product_title,Product_image,Packsize,Price,Price per unit
LACURA,https://www.aldi.com.au/fileadmin/_processed_/d/c/csm_ALN2364_THEME_HEADINGS_298x298_7_3a8cab2cd9.jpg,N/A,$10.99,$21.98 per 100ml
Skin Science Revitalise Expert Neck & Décolleté Serum 50ml,https://www.aldi.com.au/fileadmin/_processed_/d/4/csm_ALN3510_Q3_BEAUTY_1x1_228x128_4_7ecab52a65.jpg,N/A,$10.99,$21.98 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN3510_Q3_BEAUTY_1x1_228x128_5_52e0ba549e.jpg,N/A,$1.69,6c per wipe
Skin Science Revitalise Expert Eye Cream 15ml,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_ALC7782_THE_BLOCK_1x1_228x128_48_bd33cd66a1.jpg,N/A,$7.99,$15.98 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/f/3/csm_ALN3510_Q3_BEAUTY_1x1_228x128__686939478a.jpg,N/A,$7.99,$15.98 per 100ml
Essentials Revitalise Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_ALN3510_Q3_BEAUTY_1x1_228x128_2_46011aced0.jpg,N/A,$7.99,$15.98 per 100ml
LACURA® Revitalise Face Cream for Mature Skin Cream Day 50ml,https://www.aldi.com.au/fileadmin/_processed_/e/d/csm_ALN3510_Q3_BEAUTY_1x1_228x128_15_f0cf826099.jpg,N/A,$10.99,$21.98 per 100ml
LACURA® Revitalise Face Cream for Mature Skin Cream Night 50ml,https://www.aldi.com.au/fileadmin/_processed_/c/d/csm_ALN3510_Q3_BEAUTY_1x1_228x128_3_a5c6dc920b.jpg,N/A,$10.99,$21.98 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/c/e/csm_ALN3510_Q3_BEAUTY_1x1_228x128_4_5059aee3dd.jpg,N/A,$10.99,$73.27 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/1/9/csm_ALN2364_THEME_HEADINGS_298x298_8_cd63438034.jpg,N/A,$5.99,$3.99 per 100ml
Naturals Revitalising Facial Foaming Cleanser 150ml,https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_25_76e9bdcba0.jpg,N/A,$5.99,$3.99 per 100ml
,https://www.aldi.com.au/fileadmin/_processed_/1/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_26_20d4d20ddc.jpg,N/A,$5.99,$3.99 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_27_6a0455746a.jpg,N/A,$7.99,$15.98 per 100ml
Naturals Pore Cleansing Clarifying Facial Scrub 150ml,https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_24_785043bbbe.jpg,N/A,$7.99,$15.98 per 100ml
,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_23_5dcf16da94.jpg,N/A,$7.99,$26.63 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/4/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_21_d392e88049.jpg,N/A,$7.99,$53.27 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/b/f/csm_ALN2364_THEME_HEADINGS_298x298_9_d99ecfa916.jpg,ea,$6.99,
Beauty Long Lasting Duo Lipstick,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_18_4e99e30afa.jpg,N/A,$4.99,$1.00 per 10ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_7_db9bfbdea3.jpg,N/A,$4.99,$1.00 per 10ml
Beauty Foundation with Sunscreen,https://www.aldi.com.au/fileadmin/_processed_/3/e/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_6_c0b1a8d162.jpg,ea $,$6.99,$5.87-$6.03 per 10ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_4_1e124933e1.jpg,0.3g,$4.99,$166.33 per 10g
Dentitex Advanced Whitening Toothpaste,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2364-7_HEALTH_1x1_228x128__d9c1a69508.jpg,140g,$1.99,$1.42 per 100g
Dentitex Sensitive Plus Whitening Toothpaste,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_ALN2364-7_HEALTH_1x1_228x128_5_684b45adc5.jpg,N/A,$4.49,$4.08 per 100g
Dentitex Interdental Pro Toothbrush 2pk,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_HEALTH_1x1_228x128_4_5cb4d06f7a.jpg,2pk,$1.89,95c per unit
Dentitex Orbit Toothbrush 2pk,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2364-7_HEALTH_1x1_228x128_3_e4b1c3337d.jpg,2pk,$3.29,$1.65 per unit
Dentitex Mouthwash 1L Ultra Fresh or Tartar Control 1L,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN3498_AUG_SSV_DIGITAL_1x1_228x128_31_545b9de1d2.jpg,1L,$4.19,42c per 100ml
Dentitex Mouthwash 500ml,https://www.aldi.com.au/fileadmin/_processed_/7/1/csm_ALN3510_Q3_HEALTH_1x1_228x128_2_ccb4337aa7.jpg,500ml,$3.49,70c per ml
Essential Health Paw Paw Ointment,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN2364-7_HEALTH_1x1_228x128_6_678cce7213.jpg,ea,$2.39,$9.56 per 100g
Essential Health Eucalyptus Oil 100ml,https://www.aldi.com.au/fileadmin/_processed_/f/b/csm_ALN3510_Q3_HEALTH_1x1_228x128_3_7dad452a16.jpg,100ml,$6.99,$6.99 per 100ml
Hedafen Ibuprofen 24pk,https://www.aldi.com.au/fileadmin/_processed_/e/e/csm_ALN2364-7_HEALTH_1x1_228x128_7_5e19cb1d8b.jpg,24pk,$1.49,6c per tablet
Hedafen Ibuprofen Liquid Gel Capsules 20pk,https://www.aldi.com.au/fileadmin/_processed_/0/8/csm_ALN3612_1x1_SSV-OCT-B2_228x128_30_bc76a15943.jpg,20pk,$2.39,12c per capsule
Hedanol Paracetamol Capsule Shaped Tablets 20pk,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN2364-7_HEALTH_1x1_228x128_9_c613cd50e7.jpg,N/A,75c,4c per tablet
Essential Health Effervescents 15pk,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN2364-7_HEALTH_1x1_228x128_10_586cc47052.jpg,ea,$4.49,30c per tablet
Essential Health Electrolytes 20pk,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2853_HEALTH_1x1_228x128__9c3f4c0792.jpg,20pk,$5.49,27c per tablet
Essential Health First Aid Strips Plastic 100pk or Fabric 50pk,https://www.aldi.com.au/fileadmin/_processed_/d/b/csm_ALN3498_AUG_SSV_DIGITAL_1x1_228x128_33_651ac07fad.jpg,ea,$1.99,2c-4c per strip
Essential Health Meal Replacement Shake 55g,https://www.aldi.com.au/fileadmin/_processed_/0/e/csm_ALN2364-7_HEALTH_1x1_228x128_12_2e957e4443.jpg,ea,$1.99,$3.62 per 100g
Essential Health Protein Bar 30g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN2364-7_HEALTH_1x1_228x128_13_8e8f2dd529.jpg,ea,$1.49,$4.97 per 100g
Onset Chocolate Protein Bars 51g-57g,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN2853_HEALTH_1x1_228x128_3_2bdeaaea03.jpg,51g-57g,$2.99,$5.86-$5.25 per 100g
Essential Health Meal Replacement Bar 55g,https://www.aldi.com.au/fileadmin/_processed_/4/6/csm_ALN3571_SEP_SSV_DIGITAL__B1__1x1_228x128_17_1eb47281b1.jpg,ea,$2.49,$4.53 per 100g
Market Fare Corn Cobs 1kg,https://www.aldi.com.au/fileadmin/_processed_/9/4/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128__e655e9c06c.jpg,N/A,c,see price in store*
Market Fare Corn Kernels 1kg,https://www.aldi.com.au/fileadmin/_processed_/a/2/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_2_b2bba5422e.jpg,N/A,$2.49,$2.49 per kg
Market Fare Garden Peas 1kg,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_3_591795a34d.jpg,N/A,$1.99,$1.99 per kg
Market Fare Baby Peas 1kg,https://www.aldi.com.au/fileadmin/_processed_/1/5/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_21_ac3d848ecf.jpg,1kg,$2.99,$2.99 per kg
"Market Fare Peas, Carrots & Corn 1kg",https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_4_32b4dc35ff.jpg,N/A,$2.79,$2.79 per kg
Market Fare Green Beans 1kg,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_5_728efad4f0.jpg,N/A,$1.99,$1.99 per kg
Market Fare Broccoli 500g,https://www.aldi.com.au/fileadmin/_processed_/c/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_6_31d847d825.jpg,N/A,$2.29,$4.58 per kg
Market Fare Spinach 250g,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_7_e00448fa4c.jpg,N/A,89c,$3.56 per kg
Market Fare Winter Vegetables 1kg,https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_23_0421a1bc07.jpg,N/A,$2.79,$2.79 per kg
Market Fare Stir Fry Vegetables 850g,https://www.aldi.com.au/fileadmin/_processed_/d/3/csm_ALN2853_FROZEN_FOOD_1x1_228x128_2_b87e9b8cb1.jpg,850g,$3.49,$4.11 per kg
Market Fare Cauliflower or Broccoli Bake 800g,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_8_b9622172af.jpg,ea,$4.99,$6.24 per kg
The Best Margherita Pizza Ever 365g,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN2626_MARGHERITA_PIZZA_1x1_228x128_663241c472.jpg,N/A,$4.99,$1.37 per 100g
International Cuisine Supreme Family Pizza 500g,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_22_122e481418.jpg,N/A,$2.99,59c per 100g
International Cuisine Beef Lasagne 2kg,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_ALN3510_Q3_FREEZER_1x1_228x128__b8af1468ed.jpg,N/A,$8.49,43c per 100g
Orchard & Vine Blueberries 500g,https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_ALN2364_FROZEN_FOOD_1x1_228x128_3_97631fd247.jpg,N/A,$4.49,$8.98 per kg
Kenny’s Frozen Dessert 475ml,https://www.aldi.com.au/fileadmin/_processed_/8/a/csm_ALN2853_FROZEN_FOOD_1x1_228x128_8_4f548ce5ec.jpg,475ml,$4.99,$1.05 per 100ml
Mamia Baby Fruit 4 Months+ 120g,https://www.aldi.com.au/fileadmin/_processed_/8/8/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_5_296a0423c4.jpg,120g,89c,74c per 100g
Mamia Organic Fruit 4 months+ 120g,https://www.aldi.com.au/fileadmin/_processed_/c/5/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_11_ec1e49265d.jpg,ea,$1.29,$1.08 per 100g
"Mamia Baby’s First Breakfast 4 Months+ 120g - Baby Rice, Pear and Apricot",https://www.aldi.com.au/fileadmin/_processed_/5/a/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_6_0c3deaa133.jpg,N/A,89c,74c per 100g
Mamia Baby's First Breakfast 6m+ Creamy Baby Porridge,https://www.aldi.com.au/fileadmin/_processed_/7/2/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_7_91a6e850a7.jpg,N/A,89c,74c per 100g
Mamia Baby's First Breakfast 6mth+ Apple & Oatmeal,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_8_1afa75f8fb.jpg,N/A,89c,74c per 100g
Mamia Baby Food Desserts 6 Months+ 120g,https://www.aldi.com.au/fileadmin/_processed_/3/c/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_9_e4f596c76f.jpg,ea,89c,74c per 100g
Mamia Premium Baby Food 6+ Months 120g,https://www.aldi.com.au/fileadmin/_processed_/3/1/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_10_042c9f53a1.jpg,ea,89c,74c per 100g
Mamia Baby Food 6 Months+ 120g,https://www.aldi.com.au/fileadmin/_processed_/d/2/csm_ALN3077_BABY-FOOD_1x1_228x128_6_f49ac9d357.jpg,ea,89c,74c per 100g
Mamia Fruit Snack Cereal Bars Apple 12+ months 8pk 128g,https://www.aldi.com.au/fileadmin/_processed_/3/9/csm_ALN3077_BABY-FOOD_1x1_228x128__22705daf2f.jpg,8pk,$2.99,$2.34 per 100g
"Mamia Fruit Snack Cereal Bars Apple, Blueberry & Banana 12+ months 8pk 128g",https://www.aldi.com.au/fileadmin/_processed_/0/f/csm_ALN3077_BABY-FOOD_1x1_228x128_2_e2c70a0032.jpg,8pk,$2.99,$2.34 per 100g
Mamia Fruit Snack Cereal Bars Apple & Raspberry 12+ months 8pk 128g,https://www.aldi.com.au/fileadmin/_processed_/b/2/csm_ALN3077_BABY-FOOD_1x1_228x128_3_a2af7a0934.jpg,8pk,$2.99,$2.34 per 100g
Mamia Fruit & Oat Bars 90g - Strawberry 12+ Months,https://www.aldi.com.au/fileadmin/_processed_/8/c/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_39_bbc43caa6f.jpg,N/A,$2.69,2.99 per 100g
Mamia Fruit & Oat Bars 90g - Apple & Raisin with Yogurt 12+ Months,https://www.aldi.com.au/fileadmin/_processed_/d/f/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_40_71d3a27ec6.jpg,N/A,$2.69,$2.99 per 100g
Mamia Fruit & Oat Bars 90g - Apricot 12+ Months,https://www.aldi.com.au/fileadmin/_processed_/3/6/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_41_22afdb3bb6.jpg,N/A,$2.69,2.99 per 100g
Mamia Organic Apple Mini Rice Cakes 40g,https://www.aldi.com.au/fileadmin/_processed_/2/5/csm_ALN3077_BABY-FOOD_1x1_228x128_4_e5faa35b4b.jpg,N/A,$2.49,$6.23 per 100g
Mamia Organic Raspberry Mini Rice Cakes 40g,https://www.aldi.com.au/fileadmin/_processed_/8/6/csm_ALN3077_BABY-FOOD_1x1_228x128_5_df85b20479.jpg,N/A,$2.49,$6.23 per 100g
MAMIA® Unisex Newborn Nappies,https://www.aldi.com.au/fileadmin/_processed_/b/8/csm_ALN2364_THEME_HEADINGS_298x298__94f1ad6dad.jpg,N/A,$3.99,14c per nappy
MAMIA® Unisex Infant Nappies 4kg-8kg 56pk,https://www.aldi.com.au/fileadmin/_processed_/6/0/csm_ALN3510_Q3_BABY_1x1_228x128__6b1b1db745.jpg,56pk,$9.99,18c per nappy
MAMIA® Unisex Crawler Nappies 6kg-11kg 56pk,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN3510_Q3_BABY_1x1_228x128_2_923f76a0f3.jpg,56pk,$9.99,18c per nappy
MAMIA® Unisex Toddler Nappies 10kg-15kg 50pk,https://www.aldi.com.au/fileadmin/_processed_/9/4/csm_ALN3510_Q3_BABY_1x1_228x128_3_8da34f35e7.jpg,50pk,$9.99,20c per nappy
MAMIA® Unisex Walker Nappies 13kg-18kg 44pk,https://www.aldi.com.au/fileadmin/_processed_/d/5/csm_ALN3510_Q3_BABY_1x1_228x128_4_428052bb2a.jpg,44pk,$9.99,23c per nappy
MAMIA® Unisex Junior Nappies 16kg-25kg 40pk,https://www.aldi.com.au/fileadmin/_processed_/6/1/csm_ALN3510_Q3_BABY_1x1_228x128_5_0f40b33a05.jpg,40pk,$9.99,25c per nappy
Mamia Baby Wipes 80pk Scented,https://www.aldi.com.au/fileadmin/_processed_/7/4/csm_ALN2364_THEME_HEADINGS_298x298_2_7f2d689f91.jpg,N/A,$1.89,$2.36 per 100 wipes
Mamia Baby Wipes 80pk Fragrance Free,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN3248_Q1_WEB-AUDIT__BABY__1x1_228x128_1_d23450f8af.jpg,N/A,$1.89,$2.36 per 100 wipes
Mamia Baby Wipes 480pk Fragance free,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_ALN3248_Q1_WEB-AUDIT__BABY__1x1_228x128_2_c0056a4c8c.jpg,N/A,$9.49,$1.98 per 100 wipes
Mamia Baby Wipes Embossed Fragrance Free 80pk,https://www.aldi.com.au/fileadmin/_processed_/0/b/csm_ALN3248_Q1_WEB-AUDIT__BABY__1x1_228x128_5_485caf9727.jpg,N/A,$2.69,$3.36 per 100 wipes
Mamia Baby Wipes Embossed Scented 80pk,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN3388_REDUCTIONS_1x1_228x128_B2_29_c4525691e4.jpg,N/A,$2.69,$3.36 per 100 wipes
Killarnee Lamb Shanks per kg,https://www.aldi.com.au/fileadmin/_processed_/b/4/csm_ALN3401-20_REDUCTIONS_FUTURE-PRICE-_RND20__1x1_228x128_013f586bc5.jpg,per kg,$11.99,$11.99 per kg
Just Organic Passata 690g,https://www.aldi.com.au/fileadmin/_processed_/3/8/csm_ALN3401-19_REDUCTIONS_FUTURE-PRICE-_RND19__1x1_228x128__7fddd013e5.jpg,690g,$1.99,29c per 100g
Willowton Free Range Chicken Tenderloins 1kg,https://www.aldi.com.au/fileadmin/_processed_/7/f/csm_ALN3401-19_REDUCTIONS_FUTURE-PRICE-_RND19__1x1_228x128_2_e9b1ca5d4f.jpg,1kg,$16.49,$16.49 per kg
Power Force Active Gel Discs Toilet Gel Discs 75ml,https://www.aldi.com.au/fileadmin/_processed_/3/1/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128__ba0292357f.jpg,ea,$4.79,$6.39 per 100ml
Ocean Royale Atlantic Salmon Portions 1kg,https://www.aldi.com.au/fileadmin/_processed_/2/a/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128_2_7462dd41af.jpg,1kg,$22.99,$22.99 per kg
Ocean Royale Raw Prawn Cutlets 500g,https://www.aldi.com.au/fileadmin/_processed_/9/7/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128_3_286fc2bf76.jpg,500g,$12.99,$25.98 per kg
Farmdale Lactose Free Milk 1L,https://www.aldi.com.au/fileadmin/_processed_/1/a/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128_4_8848e3e645.jpg,1L,$1.49,$1.49 per Litre
Farmdale Condensed Milk 397g,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN3401-18_REDUCTIONS_FUTURE-PRICE-_RND18__1x1_228x128_5_4cc2b1af7f.jpg,397g,$1.39,35c per 100g
The Cake Stall Muffins 480g/4pk,https://www.aldi.com.au/fileadmin/_processed_/6/e/csm_ALN3401-17_REDUCTIONS_FUTURE-PRICE-_RND17__1x1_228x128__e855728952.jpg,4pk,$2.89,60c per 100g
The Cake Stall Muffins 480g/4pk,https://www.aldi.com.au/fileadmin/_processed_/2/e/csm_ALN3401-17_REDUCTIONS_FUTURE-PRICE-_RND17__1x1_228x128_2_2d2c0b35b4.jpg,4pk,$2.89,60c per 100g
Willowton Free Range Chicken Breast Fillets 1kg,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN3401-17_REDUCTIONS_FUTURE-PRICE-_RND17__1x1_228x128_3_2e67c2639a.jpg,1kg,$11.49,$11.49 per kg
"Ready, Set…Cook! Boneless Butterflied Chicken 1kg",https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN3401-17_REDUCTIONS_FUTURE-PRICE-_RND17__1x1_228x128_4_2d50c3a8b2.jpg,ea,$9.49,$9.49 per kg
Emporium Selection Dutch Cheese 230g/265g,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN3401-16_REDUCTIONS_FUTURE-PRICE-_RND16__1x1_228x128__93121141c1.jpg,ea,$2.99,$13.00/$11.28  per kg
Emporium Selection Dutch Cheese 200g/260g,https://www.aldi.com.au/fileadmin/_processed_/8/a/csm_ALN3401-16_REDUCTIONS_FUTURE-PRICE-_RND16__1x1_228x128_2_e4d5f41776.jpg,ea,$2.99,$14.95/$11.50 per kg
Ocean Royale Barramundi Portions 1kg,https://www.aldi.com.au/fileadmin/_processed_/9/2/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128__0f23490e2c.jpg,per kg,$17.99,$17.99 per kg
Ocean Rise Premium Red Salmon 210g,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_2_29b7a71ba5.jpg,210g,$4.99,$23.76 per kg
SAN-I-PET Cat Litter Clumping 10kg,https://www.aldi.com.au/fileadmin/_processed_/e/a/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_4_8bf9c807b3.jpg,10kg,$5.59,56c per kg
Farmdale Lactose Free Milk 1L,https://www.aldi.com.au/fileadmin/_processed_/4/1/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_7_48bed16dbb.jpg,1L,$1.49,$1.49 per Litre
Westacre Spreadable Cream Cheese 250g,https://www.aldi.com.au/fileadmin/_processed_/1/5/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_8_c1e56beff5.jpg,250g,$2.39,$9.56 per kg
Emporium Selection Brie Cheese 125g,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_9_733ed5336b.jpg,125g,$2.69,$21.52 per kg
Remano Italian Diced Tomatoes 400g,https://www.aldi.com.au/fileadmin/_processed_/0/d/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_10_62654eb9a9.jpg,400g,99c,$2.48 per kg
Power Force Multi Purpose Sponge Scourer 5pk,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_11_9cd91226f5.jpg,5pk,$1.89,38c per unit
Farmdale Butter Milk 600ml,https://www.aldi.com.au/fileadmin/_processed_/9/f/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_12_055e9444ef.jpg,600ml,$1.99,$3.31 per Litre
Remano Pesto Basil 190g,https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_13_c6cc984fc9.jpg,190g,$1.79,94c per 100g
Remano Pesto Sundried Tomato 190g,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_14_307f93d12b.jpg,190g,$1.79,94c per 100g
Power Force Pro Glass Cleaner 750ml,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_15_7e8091af83.jpg,750ml,$1.59,21c per 100ml
White Mill Bread Crumbs 500g,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_16_f8507e8cd8.jpg,500g,$1.59,32c per 100g
Just Organic Tomato Paste 140g,https://www.aldi.com.au/fileadmin/_processed_/f/f/csm_ALN3401-15_REDUCTIONS_FUTURE-PRICE-_RND15__1x1_228x128_17_a013c13156.jpg,140g,95c,68c per 100g
Essential Health Paw Paw Ointment 25g,https://www.aldi.com.au/fileadmin/_processed_/e/d/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128__efe1136761.jpg,N/A,$2.39,$9.56 per 100g
Julius Dog Treats 2pk or 4pk,https://www.aldi.com.au/fileadmin/_processed_/1/d/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_2_bd1bf904bf.jpg,ea,$3.69,$1.85 - 92c each
Just Organic Apple Cider Vinegar 500ml,https://www.aldi.com.au/fileadmin/_processed_/6/b/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_3_76922bca87.jpg,N/A,$3.19,64c per 100ml
Hillcrest Nut Bars 6 Pack/225g,https://www.aldi.com.au/fileadmin/_processed_/5/a/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_14_3541408b07.jpg,6pk,$2.59,$1.15 per 100g
Piatti Fresh 9 Slice Garlic Bread 270g,https://www.aldi.com.au/fileadmin/_processed_/2/3/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_6_67fed68e86.jpg,N/A,$2.89,$1.07 per 100g
Emporium Selection Smooth Ricotta 375g,https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_7_f9eeb01680.jpg,N/A,$2.79,$7.44 per kg
Di San Laundry Sanitiser 1L,https://www.aldi.com.au/fileadmin/_processed_/3/6/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_8_0fa052a6d2.jpg,N/A,$3.79,$3.79 per Litre
Has No Gluten Free Coconut Macaroon 160g,https://www.aldi.com.au/fileadmin/_processed_/e/7/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_10_aff13f483f.jpg,N/A,$2.39,$1.49 per 100g
Hillcrest Fruity Filled Bars 6 Pack/225g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_4_dc7f345163.jpg,6pk,$2.29,$1.02 per 100g
Seasons Pride Potato Jewels 1kg,https://www.aldi.com.au/fileadmin/_processed_/c/8/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_11_2d7f64483d.jpg,N/A,$2.59,$2.59 per kg
Anco Soft Frabric Softener 1L,https://www.aldi.com.au/fileadmin/_processed_/2/5/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_12_9e98766300.jpg,ea,$3.49,$3.49 per Litre
Market Fare Corn Kernels 1kg,https://www.aldi.com.au/fileadmin/_processed_/b/e/csm_ALN3401-14_REDUCTIONS_FUTURE-PRICE-_RND14-W40__1x1_228x128_13_7cfc3f07bd.jpg,N/A,$2.49,$2.49 per kg
Farmwood Tempura Chicken Nuggets 400g,https://www.aldi.com.au/fileadmin/_processed_/2/7/csm_ALN3401-13_REDUCTIONS_FUTURE-PRICE-_RND13-W39__1x1_228x128__1853cdcbdb.jpg,N/A,$3.39,$8.48 per kg
